yr,holiday,workingday,atemp,hum,windspeed,season_fall,season_spring,season_summer,season_winter,mnth_1,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12,weekday_Friday,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,weathersit_Clear_Few Clouds,weathersit_Light rain_Light snow_Thunderstorm,weathersit_Mist_cloudy,cnt
0,0,0,0.373517379,0.828620051,0.284606201,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.110791532
0,0,0,0.360540669,0.715770694,0.466214554,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.089622642
0,0,1,0.144830108,0.449638046,0.465740397,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.152669121
0,0,1,0.174649238,0.607131105,0.284296968,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.177174413
0,0,1,0.197158303,0.449313111,0.339142514,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.181546249
0,0,1,0.202328772,0.532916195,0.138481704,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.182236539
0,0,1,0.170339857,0.512797943,0.301675857,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.171191901
0,0,0,0.109190755,0.55098509,0.503868813,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.107800276
0,0,0,0.048705847,0.446444216,0.700017296,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.092038656
0,0,1,0.094271346,0.496572751,0.414114997,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.149447768
0,0,1,0.147532824,0.705772751,0.205619875,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.142774965
0,0,1,0.106852952,0.616498715,0.581842917,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.131155085
0,0,1,0.094264783,0.48371928,0.574365665,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.159226875
0,0,1,0.143527974,0.553034447,0.214723691,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.1609526
0,0,0,0.221890971,0.51285347,0.279487366,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.141049241
0,0,0,0.203651908,0.497429306,0.342302874,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.135987115
0,1,0,0.128246278,0.552699229,0.353814584,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.112517257
0,0,1,0.201178904,0.886032905,0.256422716,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.07604694
0,0,1,0.287929639,0.762713625,0.383294786,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.187298665
0,0,1,0.230998033,0.553555784,0.357704733,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.21916705
0,0,1,0.103387596,0.470008226,0.682065296,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.174988495
0,0,0,0,0.411311054,0.308363533,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.110331339
0,0,0,0.025950138,0.44886581,0.462217204,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.110906581
0,0,1,0.051009521,0.505644216,0.280243956,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.160377358
0,0,1,0.204057512,0.634403085,0.221419614,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.225839853
0,0,1,0.163462962,0.88688946,0.559625564,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.055683387
0,0,1,0.184596386,0.706940874,0.188519296,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.047054763
0,0,1,0.189344187,0.81546838,0.208027768,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.131730327
0,0,0,0.174654488,0.670168638,0.253515926,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.123791993
0,0,0,0.224791895,0.742595373,0.106357354,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.123561896
0,0,1,0.140688745,0.620822622,0.339744487,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.170156466
0,0,1,0.204062763,0.853023136,0.063539731,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.153934653
0,0,1,0.230167135,0.797343959,0.498723177,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.173032674
0,0,1,0.129699365,0.450206684,0.526438691,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.175793833
0,0,1,0.196261773,0.601765553,0.217385156,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.193971468
0,0,0,0.215256914,0.955441645,0.285911164,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.113092499
0,0,0,0.27906804,0.584404113,0.246166491,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.184192361
0,0,1,0.294802595,0.759211311,0.047449932,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.194431661
0,0,1,0.156435114,0.553128021,0.700017296,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.173492867
0,0,1,0.085601392,0.508774293,0.343139864,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.182121491
0,0,1,0.092512415,0.449759383,0.411369009,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.174413254
0,0,1,0.176469862,0.520682776,0.177619867,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.198343304
0,0,0,0.20199405,0.559554756,0.3730901,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.166820064
0,0,0,0.321652544,0.470324936,0.49166236,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.180280718
0,0,1,0.419098629,0.386460668,0.815377657,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.217556374
0,0,1,0.229979428,0.323237018,0.55452116,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.206281638
0,0,1,0.311265664,0.435452956,0.472918723,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.240796134
0,0,1,0.458881971,0.519280206,0.428209832,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.28221353
0,0,1,0.568257283,0.531277121,0.499995155,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.33421537
0,0,0,0.409981067,0.193230848,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.185572941
0,0,0,0.260243541,0.419358355,0.414049027,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.205936493
0,1,0,0.269097264,0.622107969,0.588479055,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.124827428
0,0,1,0.140403903,0.594116195,0.35724913,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.164289001
0,0,1,0.218747211,0.435005656,0.147857233,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.218016567
0,0,1,0.275812705,0.717111568,0.470249013,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.205361252
0,0,1,0.356237852,0.732312596,0.668246709,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.165554533
0,0,0,0.266625572,0.553128021,0.338464263,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.22399908
0,0,0,0.357088439,0.699228792,0.212043673,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.273815002
0,0,1,0.421419368,0.901145501,0.551041259,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.163828808
0,0,1,0.242587288,0.550128535,0.400009854,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.210423378
0,0,1,0.316346874,0.462296144,0.588452254,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.242982052
0,0,1,0.158912057,0.327334704,0.419242078,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.191325357
0,0,1,0.231823681,0.627678149,0.373046808,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.221122872
0,0,0,0.39340905,0.811482776,0.473083648,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.236424298
0,0,0,0.376965671,0.975075578,0.66154254,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.067073171
0,0,1,0.209222731,0.566893573,0.657553436,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.212839393
0,0,1,0.293151301,0.432733162,0.202564654,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.242867004
0,0,1,0.272422169,0.797343959,0.407689138,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.215025311
0,0,1,0.402451792,0,0.493711543,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.06914404
0,0,1,0.296564152,0.667933162,0.434118242,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.224919466
0,0,0,0.323801328,0.611396401,0.408977608,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.242751956
0,0,0,0.395131227,0.54230437,0.511702713,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.275540727
0,0,1,0.332005297,0.511009769,0.236118484,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.2328578
0,0,1,0.313862056,0.674192288,0.333801031,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.234008283
0,0,1,0.377855637,0.798480206,0.372574712,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.249654855
0,0,1,0.434827935,0.619966067,0.385896465,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.313161528
0,0,1,0.587980936,0.540068895,0.43009203,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.370110446
0,0,0,0.508587521,0.389888946,0.712833969,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.356074551
0,0,0,0.323801328,0.48714653,0.3820661,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.281753336
0,0,1,0.434042979,0.758242674,0.549179677,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.236424298
0,0,1,0.474612589,0.64224473,0.419233832,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.308444547
0,0,1,0.339801036,0.863305913,0.436779706,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.241486424
0,0,1,0.251715351,0.828620051,0.456418056,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.212034054
0,0,1,0.232654579,0.508997429,0.429490056,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.251725725
0,0,0,0.234307186,0.405313111,0.385879973,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.284629544
0,0,0,0.22481421,0.507879692,0.333782477,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.192245743
0,0,1,0.234311124,0.310718766,0.391308041,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.230786931
0,0,1,0.280691769,0.3230509,0.421802527,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.276461114
0,0,1,0.286522494,0.664953213,0.310256039,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.174183157
0,0,1,0.234312437,0.944301285,0.40252701,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.191325357
0,0,1,0.268282118,0.705655527,0.487178483,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.253681546
0,0,0,0.31052665,0.672236504,0.360265182,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.256557754
0,0,0,0.393393298,0.493573265,0.329480017,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.37126093
0,0,1,0.608878086,0.438303342,0.74871323,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.355844455
0,0,1,0.419098629,0.660239589,0.753858866,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.203980672
0,0,1,0.404998304,0.484147044,0.496156544,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.32052462
0,0,1,0.465495026,0.619966067,0.288453058,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.358835711
0,0,1,0.322132969,0.859897172,0.421794281,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.166705016
0,0,0,0.344513396,0.902313625,0.228195937,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.279912563
0,0,0,0.456360399,0.881748072,0.256406223,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.330533824
0,0,1,0.638134095,0.73722982,0.622758551,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.382650713
0,0,1,0.543410415,0.760068895,0.52051585,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.23147722
0,0,1,0.443950748,0.842331105,0.470498461,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.246203405
0,0,1,0.503621823,0.555698715,0.182052206,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.373331799
0,1,0,0.476280948,0.690231362,0.420522303,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.357109986
0,0,0,0.454726169,0.913452956,0.656431951,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.088932352
0,0,0,0.481246646,0.493144473,0.579511301,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.428209848
0,0,1,0.556657527,0.557840617,0.291040307,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.391969627
0,0,1,0.538427652,0.684661183,0.279503859,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.366083755
0,0,1,0.637051171,0.63153419,0.452579446,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.451219512
0,0,1,0.492005003,0.418594344,0.624374808,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.479406351
0,0,1,0.318818565,0.750213882,0.406392421,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19109526
0,0,0,0.487055056,0.913025193,0.429490056,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.461803958
0,0,0,0.620473903,0.83376144,0.350017204,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.479636447
0,0,1,0.650319285,0.798629306,0.335912061,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.466060746
0,0,1,0.676024617,0.749786118,0.626935257,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.503681546
0,0,1,0.651161997,0.859040617,0.597455055,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.442936033
0,0,1,0.656132946,0.7206509,0.615407055,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.464335021
0,0,1,0.549197822,0.470008226,0.448740835,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.526115969
0,0,0,0.505300683,0.517566067,0.43845781,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.608605614
0,0,0,0.484538735,0.783632905,0.173092698,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.382995858
0,0,1,0.595625723,0.750642674,0.332038403,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.503796595
0,0,1,0.660267746,0.716794859,0.660264378,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.509549011
0,0,1,0.42736823,0.757925964,0.632080892,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.300391164
0,0,1,0.476286199,0.456726992,0.562804478,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.507478141
0,0,1,0.518553046,0.606683805,0.424379468,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.527611597
0,0,0,0.569094744,0.55655527,0.284614447,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.539806719
0,0,0,0.577380096,0.649529049,0.107707465,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.495973309
0,0,1,0.585666761,0.605398458,0.31667159,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.49930971
0,0,1,0.582352357,0.502999486,0.192300183,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.550046019
0,0,1,0.589806812,0.650814396,0.202548161,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.478601012
0,0,1,0.583195069,0.768637532,0.34484683,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.557063967
0,0,1,0.545045958,0.887746015,0.324350874,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.469742292
0,0,0,0.553353625,0.948586118,0.232044856,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.389668661
0,0,0,0.599782838,0.891602057,0.269212588,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.521283939
0,0,1,0.618831797,0.810197429,0.215389573,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.452830189
0,0,1,0.603102492,0.861611311,0.525618193,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.471813162
0,0,1,0.588176519,0.894601542,0.369224689,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.440980212
0,0,1,0.566628303,0.853041645,0.176925124,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.523815002
0,0,1,0.590649523,0.739931105,0.211559208,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.563161528
0,0,0,0.647004882,0.644387661,0.202564654,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.665324436
0,0,0,0.650319285,0.770779434,0.25896461,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.53359411
0,0,1,0.671053668,0.832904884,0.435915916,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.489185458
